                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.4934,                0.91062,                 1.0907,                0.84321,                0.80306,                0.84065,                0.41412,                 1.7086,                0.94175,                 1.2597,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.4965,                0.88743,                 1.1118,                0.79446,                0.79808,                0.85065,                 0.4197,                 1.7483,                0.94455,                 1.2764,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.5016,                0.87508,                 1.1161,                0.84975,                0.79918,                0.83988,                0.42245,                 1.7008,                0.95029,                 1.2525,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.4858,                0.86952,                 1.1089,                0.82445,                0.73735,                0.81368,                0.39021,                 1.8075,                 1.0404,                  1.314,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.4957,                0.87625,                 1.0959,                0.79689,                0.77259,                0.82199,                0.40695,                 1.7809,                0.97799,                 1.3229,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.4855,                0.87192,                 1.0968,                0.82466,                0.80454,                0.81211,                0.40539,                  1.778,                0.97022,                 1.2958,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.4719,                0.86359,                 1.0917,                0.78313,                0.81851,                0.82563,                0.41208,                 1.7204,                0.98682,                 1.2617,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.4682,                 0.8589,                 1.0956,                0.80343,                0.82005,                0.83347,                 0.4151,                 1.7433,                0.98236,                 1.2759,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.4938,                0.87167,                 1.0973,                0.81232,                0.75818,                0.80906,                0.39679,                 1.7831,                 1.0417,                 1.3073,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.4759,                0.85366,                 1.0914,                0.84155,                0.80759,                0.85201,                0.42288,                  1.745,                 0.9376,                 1.2834,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.4639,                0.84166,                 1.0881,                0.84875,                0.78331,                0.82254,                0.41156,                 1.8027,                 1.0279,                 1.3203,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.4222,                0.81195,                  1.065,                0.82762,                0.77099,                0.81671,                0.40317,                   1.79,                0.99553,                 1.2981,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.4558,                0.80717,                 1.0866,                0.86696,                0.79524,                0.84859,                0.42774,                 1.7217,                0.93913,                 1.2513,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.4511,                0.83353,                 1.0792,                0.81513,                0.80618,                0.82986,                0.41815,                 1.7209,                0.94996,                 1.2668,             0.00045107,             0.00045107,             0.00045107
                     62,                  1.425,                0.82094,                 1.0601,                0.82528,                0.80866,                 0.8271,                0.42168,                 1.7325,                0.96836,                 1.2628,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.3935,                0.77796,                 1.0641,                0.83556,                0.83018,                0.84784,                 0.4362,                 1.7243,                0.94186,                 1.2667,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.3867,                0.80071,                 1.0667,                0.86391,                0.81633,                0.85706,                0.43649,                 1.7278,                0.94512,                 1.3032,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.3608,                0.89133,                 1.0417,                0.78508,                0.85995,                0.84946,                0.43049,                 1.7425,                0.91975,                 1.2876,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.3955,                 0.7931,                 1.0678,                0.86053,                0.81926,                0.85853,                0.42585,                   1.75,                0.93924,                 1.2858,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.3862,                0.77515,                 1.0528,                0.80688,                0.84517,                0.84354,                0.41246,                 1.7486,                0.91844,                 1.2892,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.3724,                0.78355,                 1.0532,                0.83182,                0.82464,                0.85149,                0.43441,                 1.7261,                0.92749,                 1.2713,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.3952,                 0.7908,                 1.0583,                 0.8069,                0.83996,                 0.8553,                0.43464,                   1.75,                 0.9295,                 1.2943,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.3823,                0.77928,                  1.047,                    0.8,                0.85405,                0.86897,                0.43588,                 1.6919,                 0.8839,                 1.2526,             0.00035208,             0.00035208,             0.00035208
                     71,                 1.3858,                0.75949,                 1.0538,                0.84892,                0.81993,                0.87034,                0.43152,                 1.7299,                0.93139,                  1.269,             0.00034108,             0.00034108,             0.00034108
                     72,                 1.3359,                 0.7318,                 1.0427,                0.89437,                0.81287,                0.88151,                0.45166,                  1.697,                0.90243,                 1.2421,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.3668,                0.75301,                 1.0463,                0.86837,                0.81891,                0.85881,                 0.4281,                 1.7815,                0.96715,                 1.2894,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.3666,                0.75389,                 1.0495,                0.85005,                0.81085,                0.85584,                0.43608,                  1.723,                0.94297,                  1.289,             0.00030808,             0.00030808,             0.00030808
                     75,                 1.3466,                0.76519,                 1.0445,                0.87592,                0.81869,                0.86999,                0.43236,                   1.72,                0.90729,                 1.2615,             0.00029708,             0.00029708,             0.00029708
                     76,                 1.3404,                  0.736,                 1.0306,                0.87736,                0.79958,                0.86086,                 0.4388,                 1.7284,                0.90704,                 1.2527,             0.00028608,             0.00028608,             0.00028608
                     77,                 1.3415,                0.73597,                 1.0365,                0.85985,                0.86195,                0.87515,                0.43963,                 1.7432,                0.91421,                 1.2752,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.3507,                0.73587,                 1.0384,                0.85722,                0.81505,                0.85053,                0.42678,                 1.7353,                0.96351,                 1.2624,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.3096,                 0.7215,                 1.0396,                0.80697,                 0.8457,                 0.8528,                0.44015,                 1.7115,                0.91442,                 1.2513,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.3208,                0.72608,                 1.0301,                0.85986,                0.82061,                  0.856,                0.42496,                 1.7512,                0.93942,                  1.261,             0.00024209,             0.00024209,             0.00024209
                     81,                 1.3124,                0.71362,                 1.0247,                0.88099,                 0.8167,                0.86663,                0.44292,                  1.722,                0.92097,                 1.2533,             0.00023109,             0.00023109,             0.00023109
                     82,                 1.2918,                0.70259,                  1.004,                0.85868,                0.83418,                0.87693,                0.44121,                 1.7305,                0.90987,                 1.2661,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.2922,                0.70983,                 1.0196,                 0.8375,                0.87255,                0.87965,                0.43902,                 1.7161,                 0.9131,                 1.2584,             0.00020909,             0.00020909,             0.00020909
                     84,                    1.3,                0.70862,                 1.0232,                0.88193,                0.83242,                0.87534,                0.43492,                 1.7417,                0.92609,                 1.2854,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.2877,                0.70929,                 1.0152,                 0.8638,                0.83375,                0.87911,                0.44348,                 1.7209,                0.93032,                 1.2604,             0.00018709,             0.00018709,             0.00018709
                     86,                  1.281,                0.69153,                 1.0205,                0.89824,                0.85107,                0.88814,                0.45179,                 1.6969,                0.88451,                 1.2487,             0.00017609,             0.00017609,             0.00017609
